node,timestamp,split,query,summary
0,1662675307.0,['*'],"[[""jedward"", 0.6924487374178364], [""queen"", 0.6594804143744503], [""liz"", 0.292575339194792]]","Moral of the story is keep liz truss away from maggie smith and julie andrews Queen Elizabeth #Queen. So we’re all agreed that meeting Liz truss killed the queen, yes? Liz truss must have done something on that visit to the Queen!"
0,1662675924.0,"['work', 'want', 'countri', 'congratul', 'peac', 'get', 'need', 'mani']","[[""lord"", 0.7626903012839725], [""tue"", 0.5894663309116069], [""presid"", 0.2661446017656026]]","A constitutional issue. It’s unclear who the Lord President currently is. Liz Truss appointed Penny Mordaunt to the role on Tues, however, she has not been sworn in, meaning Mark Spencer may still have the job. Lord President chairs Accession Council so they need to decide soon."
1,1662679409.0,"['work', 'want', 'countri', 'congratul', 'peac', 'get', 'need', 'mani']","[[""reign"", 1.0]]","British Prime Minister Liz Truss mourned Queen Elizabeth, the longest reigning British monarch, who died at age 96. 'Our country has grown and flourished under her reign,' Truss said."
2,1662706948.0,['*'],"[[""good"", 0.7028971605863559], [""shambl"", 0.4669232058349545], [""certainli"", 0.4127124765703279], [""macron"", 0.3429091908590872]]","Optically this doesn't look good rn!!!. Good. Interesting to see how Charles (environmentalist) and Truss (re-start fracking, use more gas oil) pans out. Hope his weekly “advice” slot is put to good use. Macron certainly has more class than Truss, that's for sure. Truss shambles."
3,1662708003.0,['*'],"[[""starmer"", 0.6699021076965858], [""spice"", 0.41973871094220494], [""hater"", 0.4159698215082557], [""keir"", 0.32407787868786436], [""macron"", 0.3114373400538415]]",Face of a man who just got ‘owned’ by Keir Starmer. Rebuttal is futile.. Macron was impressive too.... 𝗚𝗨𝗔𝗥𝗗𝗜𝗔𝗡/𝗢𝗕𝗦𝗘𝗥𝗩𝗘𝗥: ‘Handout’-hater Liz Truss frightens those of us struggling to improve our lives | Sharron Spice or. Please DO! Keir Starmer The Labour Party. Starmer Truss..
4,1662710529.0,"['work', 'want', 'countri', 'congratul', 'peac', 'get', 'need', 'mani']","[[""vandal"", 0.8067808434834655], [""buri"", 0.5908508023080852]]","Just so it doesn't get buried, Liz Truss today announced she will let the British public get mugged and then make them pay the perpetrator for the privilege, for years to come.. This bit of constitutional vandalism by the Truss government should not be allowed to get buried.."
4,1662710551.0,['*'],"[[""good"", 1.0]]","Tbf this was good.. Good stuff from Starmer. Good. Interesting to see how Charles (environmentalist) and Truss (re-start fracking, use more gas oil) pans out. Hope his weekly “advice” slot is put to good use. This is very good - I don't agree with everything but worth a read.."
4,1662710738.0,"['polici', 'cooper', 'administr', 'address', 'climat', 'plan', 'immigr', 'execut', 'day']","[[""energi"", 0.7943051048151313], [""public"", 0.43559739642734324], [""enough"", 0.42347881728646486]]","Liz Truss energy bills plan is not enough help, public says - -Poll finds majority say policy is not enough as charities warn 2.2 million will be plunged into poverty."
5,1662711935.0,['*'],"[[""corrupt"", 0.9024136098128993], [""winston"", 0.43087083543035537]]","It might feel inappropriate to retweet this under the circumstances, but this is rather huge and will sink into the filthy, growing swamp of Tory corruption, it we don't keep at it #GTTO. The Queen and her 15 prime ministers - from Winston Churchill to Liz Truss. Corruption.."
6,1662713762.0,"['hour', 'take', 'spent', 'time', 'year', 'last', 'offic']","[[""stood"", 1.0]]","For seventy years, Queen Elizabeth II stood as the head of our country. But in spirit, she stood amongst us.."
