node,timestamp,split,query,summary
0,1623677757.0,None,"[[""need"", 1.0]]",O'Donnell needs hooked aff. #cze lack pace. Need Hlozek on! #scocze. I think we need to tell McGinn to play with a Scotland top on underneath his villa top from now on.
1,1623678165.0,None,"[[""assist"", 0.7958471667573075], [""coufal"", 0.31219936352453137], [""schick"", 0.31219936352453137], [""defend"", 0.31219936352453137], [""patterson"", 0.2724370742189819]]","Schick scoring, but it's against Scotland. Damn unlucky for Scotland, nice assist by coufal. This is pish. Shit defending there and we've still have Armstrong and O'Donnell on the pitch. Patterson stops that cross. Shagger saves that header. Fact. Coufal assist 😍😍😍😍😍😍😍."
2,1623678271.0,None,"[[""patrick"", 0.646085425107125], [""half"", 0.5425524815381739], [""class"", 0.536852333738911]]","Czeh Republic strikes against Scotland 👏 1-0 in first half. #SCOCZE. That big striker is a player, he's on a different planet to dykes, he's class with the ball at his feet is fkn rapid. Patrick Schick gives #CZE the lead! EURO 2020.."
3,1623678400.0,None,"[[""rover"", 0.26150544918626256], [""rb"", 0.26150544918626256], [""nod"", 0.26150544918626256], [""pen"", 0.26150544918626256], [""penalti"", 0.26150544918626256], [""top"", 0.25946156140051096], [""forrest"", 0.25326996434879306], [""12th"", 0.24643244155405578], [""hell"", 0.23525749709858304], [""firpo"", 0.23514204705971292], [""dosen"", 0.23514204705971292], [""refere"", 0.2327767319401592], [""look"", 0.2319189582233382], [""header"", 0.22536113621124093], [""corner"", 0.2222230409696739], [""snap"", 0.21844869602686612], [""schick"", 0.2099713223213345]]","Tierney's injury history dosen't look good,go and snap Firpo before Ac Milan takes him. #SCO. Thought that was a pen #SCOCZE. 🇨🇿 Schick nods in his 12th international goal in 27 appearances for Czech Republic ⚽️. EURO 2020. How the hell is that not a penalty??#SCOCZE."
4,1623678559.0,None,"[[""sub"", 0.603157112328022], [""patterson"", 0.5551503150113184], [""wrech"", 0.33181048007791974], [""adam"", 0.33181048007791974], [""thought"", 0.3283492594964643]]","Looks like Scotland need to Czech themselves before they Wrech themselves #SCO #SCOCZE. HT- Scotland 0-1 Czech Republic. Thoughts on that 1st half? #SCO #SCOCZE. Make some subs. Get che adams on! Patterson, Gilmour and Adams are needed."
5,1623679351.0,None,"[[""sub"", 1.0]]","Che Adams, good sub that. So they sub on Adams but not Patterson for that donkey O'Donnell."
6,1623679598.0,None,"[[""patrik"", 0.7071067811865475], [""almost"", 0.7071067811865475]]",🇨🇿 Patrik Schick has now scored 7 goals in his last 11 games for Czech Republic 🔥. EURO 2020. That's the second time Scotland almost scored #SCOCZE. And almost a #CZE own goal.
7,1623679821.0,None,"[[""schick"", 0.42169959008475943], [""keeper"", 0.40320403129108], [""goal"", 0.38831935733503553], [""patrick"", 0.2711553181437095], [""belgium"", 0.2708723658173036], [""best"", 0.26508344802028316], [""net"", 0.2644459513644713], [""bow"", 0.1456947390974066], [""pure"", 0.1456947390974066], [""fabul"", 0.1410802079221754], [""world"", 0.14050735851544818], [""half"", 0.13965695101631648], [""scotch"", 0.13840222317765755], [""mile"", 0.13572597027570554], [""becam"", 0.13564977086552304], [""faddi"", 0.13398617532494148], [""cheek"", 0.13398617532494148], [""thrash"", 0.11938583772033999], [""said"", 0.1181822182153196]]","What a goal by schick #cze ! Surely the best you will ever see this tournament EURO 2020. Patrick Schick with the best of the Euros so far, doubt anyone tops that, pure class ⚽️. Jack Hendry being the best player in Belgium says a lot about Belgium 😂."
8,1623680002.0,None,"[[""whatago"", 0.7363862360272299], [""patrik"", 0.6765613877466323]]",WTF was the keeper thinking #SCOCZE but #whatagoal. OUT OF THIS WORLD FROM PATRIK SCHICK 🤯.
9,1623680113.0,None,"[[""need"", 0.6234852697728441], [""second"", 0.6176458957300083], [""penalti"", 0.23675433699948698], [""foul"", 0.22694261775399782], [""herrera"", 0.20730124425607702], [""ander"", 0.20730124425607702], [""tangl"", 0.19046387133212536]]",#Sco are now playing for fouls or penalties 🙄. Schick finish! Wonderful second goal for #CZE just when #SCO were getting into it. No need for Scotland to take the plane home after the Group Stage. They just need the Number 18 Bus. Euro 2020 #Scotland.
