node,timestamp,split,query,summary
0,1662329706.0,['*'],"[[""jonhson"", 0.4470426193935145], [""evenstrong"", 0.4470426193935145], [""fuck"", 0.3852611303380029], [""lap"", 0.3601066371630706], [""cours"", 0.3429521760736123], [""dear"", 0.323899024470722], [""recov"", 0.3157152056627118]]",Has boris jonhson lap dog got the job liz truss. Dear god we are fucked. HOW THE FUCK ARE YOU STILL ON ABOUT THIS YOU WET WIPE. We are fucking doomed.. Of course she did!. Liz Truss vows to help Britain recover from financial slump and emerge even stronger. Fucking kill me now.
1,1662331197.0,['*'],"[[""herdeputi"", 1.0]]",PM favourite Liz Truss is lining up Therese Coffey to be her Deputy.
2,1662357067.0,['*'],"[[""tori"", 0.606515591664486], [""thunderstorm"", 0.5272941386301683], [""johnson"", 0.5093856748947097], [""soulless"", 0.18970023383612422], [""anoth"", 0.1750594962700842], [""doom"", 0.16731394650295162]]","Bloody massive The prospect. Thunderstorm 🤝 of Liz Truss. Becoming Prime. Minister today. Keeping Britain. up at night. Tories managed to insulate two homes over the summer.. From one disaster to another from Boris Johnson to Liz Truss 😱🤡. We know you will, you a soulless Tory.."
3,1662357986.0,['*'],"[[""tori"", 0.8139602716484337], [""kirkup"", 0.39892087350157157], [""dear"", 0.26526426725684027], [""key"", 0.26526426725684027], [""morn"", 0.1939086122278596]]","Very nasty thought!. Tory Shambles. Fucking Tory cunt. Torys being torys. Liz Truss this morning. Dear god, this is painful. We’re all screwed if Liz Truss is the best they have #bbclaurak. The key difference between Liz Truss and Boris Johnson 👇. ✍️ James Kirkup.."
3,1662358588.0,"['work', 'want', 'countri', 'congratul', 'peac', 'get', 'need', 'mani']","[[""thing"", 0.6535524646608594], [""tirelessli"", 0.452989495212435], [""suspend"", 0.4311569340641843], [""market"", 0.42634890802167197]]",Yes. And he’s not the sort of person to run away when things get tough. ….. oh…. Hold on….! He is!. I will work tirelessly for the people of Britain; Liz Truss. The EU gets the need to suspend markets in the public interest: will Liz Truss?.
4,1662359541.0,['*'],"[[""love"", 0.584208881331203], [""trend"", 0.2444488291202913], [""never"", 0.23613218234101835], [""logic"", 0.23489141964670385], [""comic"", 0.20933206475658553], [""know"", 0.2041404606200722], [""lycett"", 0.1951617661857818], [""make"", 0.18571106758897643], [""garbag"", 0.18335190516054414], [""screw"", 0.18335190516054414], [""precis"", 0.18335190516054414], [""hello"", 0.18335190516054414], [""agre"", 0.18335190516054414], [""review"", 0.18335190516054414], [""grafter"", 0.18335190516054414], [""deepend"", 0.1826294991742969], [""level"", 0.17879394419750594], [""mock"", 0.17116119133466554]]","Truss is no Thatcher. Politically, personally, or on any other level. 'Comic mocks Liz Truss' is actually a headline now??. Liz Truss – “in at the deep end”.. Do you mean the Joe Lycett that is trending like fuck? Do you mean the Liz Truss interview that nobody is talking about?."
5,1662360489.0,['*'],"[[""petrolhead"", 0.6421073416381411], [""cring"", 0.5913310314354125], [""like"", 0.3595928614516315], [""fuck"", 0.32972525998012125]]","Petrolheads will cringe too.. Under Liz Truss, we’ll be careering into petrolhead politics while the world burns. Liz truss is likely more likely to become PM of UK. Liz 'fucking' Truss !!! - let that sink in for a moment, Liz 'fucking' Truss. God help us all."
5,1662360960.0,"['hour', 'take', 'spent', 'time', 'year', 'last', 'offic']","[[""year"", 0.5942049508753958], [""write"", 0.5743555128838753], [""thousand"", 0.5630596959249249]]",Liz Truss said this morning there's been too much focus on distribution in the last 20 years. This is household wealth by percentile. It doesn't look like we've focused too much on distribution.. The entire nation must now write one thousand times: ‘Truss is not a joke.’.
6,1662361528.0,['*'],"[[""post"", 0.6618081975941775], [""sky"", 0.5702376626240041], [""pleas"", 0.4866609884943097]]","Please post your favourite quotes, videos and memes of Liz Truss below!. Great ,Bye , please don't come back. Can someone show this video to Liz Truss please?.. 🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘truss liz 🆘🆘🆘 🆘-Please Help Us -🆘 🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘 SACK Priti Patel 🆘 🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘. Sky News Posted....."
6,1662361616.0,"['term', 'next', 'presid', 'end']","[[""noon"", 0.4588886998197252], [""stream"", 0.4253678467320953], [""opt"", 0.41951453821835116], [""tap"", 0.4073988962159455], [""premier"", 0.39858978827914565], [""shut"", 0.32809027478625685]]","@dusuncelerb Liz Truss favourite to be named UK’s next prime minister at noon today, Russia shuts off key gas taps, and Premier League streaming costs up 30%. This morning's top stories ⬇️ Reply #stop to opt out."
