node,timestamp,split,query,summary
0,1662416104.0,"['work', 'want', 'countri', 'congratul', 'peac', 'get', 'need', 'mani']","[[""congratul"", 0.7792385136591363], [""need"", 0.6267274837042812]]","Doris torn between her desire to fill her pockets and her need to trash the country,. Something about ladies who can't land a single punch needing to compensate for it with a nuclear Holocaust.. Don’t congratulate the person that it’s literally your job to make unemployed."
0,1662416104.0,"['evid', 'republican', 'outcom', 'claim', 'widespread', 'voter', 'proof', 'elect']","[[""elect"", 1.0]]",⚡️ Liz Truss considering plans to freeze energy bills until next election.. Why are people congratulating Liz Truss on winning a fixed election from anonymous unknown voters with less than 50% of the votes?
0,1662416104.0,"['hour', 'take', 'spent', 'time', 'year', 'last', 'offic']","[[""year"", 0.8236314679742054], [""time"", 0.4449332723851338], [""new"", 0.3516611836516961]]","If Truss delivers a premiership as thrilling, passionate and inspirational as her acceptance sleep we'll all be asleep for the next 2 years. Truss says she is going to govern as a conservative. Would that be just like the last 12.5 years of being governed by conservatives then?"
0,1662416104.0,"['term', 'next', 'presid', 'end']","[[""next"", 1.0]]",⚡️ Liz Truss considering plans to freeze energy bills until next election.. One must have a heart of stone not to laugh.. So thin a skin will make the next 24 months delicious.. Liz Truss plans to use £100+bn of taxpayers money to basically bribe voters over the next 18 months.
0,1662416105.0,"['call', 'democrat', 'governor', 'pressur', 'leader']","[[""leader"", 1.0]]",But you keep telling us that it's fine for leaders to lie to their members.. When will we get a leader who can speak statesmanese?. Liz Truss has been named leader of the governing Conservative. I pay attention to her measures for living costs..
0,1662416106.0,"['cabinet', 'nomine', 'invok', 'announc', 'week', 'new']","[[""new"", 1.0]]","Liz truss explaining her new policy to help with energy prices. You must hand it to them, they are very good at setting up a new cult.. Liz Truss's 'no new tax rises' pledge is 'headline-grabbing' measure.."
0,1662416106.0,['*'],"[[""liz"", 1.0]]","We have to pray that she’s a liar. Because if Liz Truss has shown us what she's really like, we're all completely fucked.. Liz Truss when everyone complains that they can’t heat their homes. Well there is one good thing to come out of liz being prime minister."
0,1662416107.0,"['polici', 'cooper', 'administr', 'address', 'climat', 'plan', 'immigr', 'execut', 'day']","[[""day"", 0.777016462605355], [""plan"", 0.6294802751796604]]","Look, dingies will continue to arrive, containing mostly military aged men between 18 and 35. These arrivals will be put into 4 star hotels and fed three meals per day,at a current cost to the tax payer of 17 million per day. Good luck to anyone who wants a better life Mrs Truss."
0,1662416107.0,"['destroy', 'clemenc', 'trump', 'peopl', 'enemi', 'american']","[[""peopl"", 1.0]]","Nothing to do with colour,people just don't like back stabbers!. Liz Truss asked if it is fair that the richest people will benefit the most from her tax cuts, replies ""yes it is fair."" Truss is already bringing the nasty people out of the cracks huh 😵‍💫 (irt: spitfire)"
0,1662416700.0,"['sign', 'fund', 'govern', 'send', 'bill', 'pass']","[[""libyan"", 0.5322703431823455], [""fullbrook"", 0.5099246848802571], [""excl"", 0.4979549868469855], [""scoop"", 0.45684343991408854]]","Liz Truss’s likely chief of staff lobbied government on behalf of Libyan parliament. EXCL: Mark Fullbrook, the man set to be Liz Truss’s chief of staff, lobbied the government on behalf of Libyan parliament PPE firm that got the biggest deal of pandemic- scoop by ⁦@rowenamason⁩."
0,1662416775.0,"['foreign', 'econom', 'brief', 'advis', 'nation', 'former', 'secur', 'domest', 'chief']","[[""scoop"", 0.7010700670899407], [""fullbrook"", 0.4269936314039217], [""libyan"", 0.4069928450825535], [""excl"", 0.4006669737108443]]","Liz Truss’s likely chief of staff lobbied government on behalf of Libyan parliament. EXCL: Mark Fullbrook, the man set to be Liz Truss’s chief of staff, lobbied the government on behalf of Libyan parliament PPE firm that got the biggest deal of pandemic- scoop by ⁦@rowenamason⁩."
0,1662416895.0,"['son', 'staff', 'posit', 'appoint']","[[""scoop"", 0.7181932749070951], [""fullbrook"", 0.4374226898252575], [""excl"", 0.41045301961178987], [""libyan"", 0.3526870127972136]]","Liz Truss’s likely chief of staff lobbied government on behalf of Libyan parliament. EXCL: Mark Fullbrook, the man set to be Liz Truss’s chief of staff, lobbied the government on behalf of Libyan parliament PPE firm that got the biggest deal of pandemic- scoop by ⁦@rowenamason⁩."
1,1662418141.0,"['destroy', 'clemenc', 'trump', 'peopl', 'enemi', 'american']","[[""stuff"", 1.0]]","OK, I’ll say it. Every political journalist knows there’s stuff about Truss that could have brought down her campaign, just like there was more stuff about Johnson that could have finished him. I don’t have proof, other people do. Absolutely mad that we live in a world like this."
2,1662423079.0,"['sign', 'fund', 'govern', 'send', 'bill', 'pass']","[[""earmark"", 1.0]]","Truss Earmarks £130 Billion to Keep UK Energy Bills Below £2,000. 📣 MARKET IMPACT. Truss Earmarks £130 Billion to Keep UK Energy Bills Below £2,000. #forex. Truss earmarks £130bn to keep UK energy bills below £2k - effectively sidelining Ofgem and freezing energy bills…."
3,1662436907.0,"['evid', 'republican', 'outcom', 'claim', 'widespread', 'voter', 'proof', 'elect']","[[""plug"", 0.5971506536755311], [""petit"", 0.5041484967030128], [""vote"", 0.4479349746120798], [""tough"", 0.43428061044243454]]","General Election Now. 80000 voted for Liz Truss. That is less than 0.1% of the voting population. Liz Truss is in ERG. Please plug the petition. The Boris succession starts tomorrow, and from what I've heard she intends to be tough..."
3,1662436961.0,"['counsel', 'attorney', 'said', 'investig', 'gener']","[[""plug"", 0.5895467105326005], [""petit"", 0.49772881603963587], [""vote"", 0.46997193388185327], [""tough"", 0.4287506071684604]]","General Election Now. 80000 voted for Liz Truss. That is less than 0.1% of the voting population. Liz Truss is in ERG. Please plug the petition. The Boris succession starts tomorrow, and from what I've heard she intends to be tough..."
3,1662436999.0,"['turnout', 'counti', 'find', 'poll', 'major', 'vote', 'overrid']","[[""plug"", 0.6679043400917338], [""petit"", 0.5638827771954976], [""tough"", 0.48573656035851204]]","General Election Now. 80000 voted for Liz Truss. That is less than 0.1% of the voting population. Liz Truss is in ERG. Please plug the petition. The Boris succession starts tomorrow, and from what I've heard she intends to be tough..."
4,1662441455.0,"['hour', 'take', 'spent', 'time', 'year', 'last', 'offic']","[[""bbcbreakfast"", 0.7742553695064934], [""down"", 0.5046744316623087], [""day"", 0.29829970109491855], [""first"", 0.2384316026523564]]","The Tories have been in power for the last 4,505 consecutive days. When Liz Truss takes the reins tomorrow, it will be 4,506. Don't let her get away with the narrative that it's Day 1! Not the first people to make a mistake like this, won't be the last... 🙃."
5,1662443666.0,"['hour', 'take', 'spent', 'time', 'year', 'last', 'offic']","[[""farewel"", 1.0]]","Boris Johnson will leave Downing Street in the next hour. Follow his farewell speech - and the build-up to PM Truss BBC Politics, BBC Breakfast and BBC Radio 4 Today.. Boris Johnson to give farewell speech before Liz Truss takes over."
5,1662444065.0,"['foreign', 'econom', 'brief', 'advis', 'nation', 'former', 'secur', 'domest', 'chief']","[[""state"", 1.0]]","The state of a nation. NYT Opinion: State of the Nation UK… “it’s just sh*t…”. If the state TV of a foreign country responded to someone mocking the ruling party's chosen leader by banning anyone from doing it again, everyone here would call it out for what it is.."
6,1662445783.0,"['foreign', 'econom', 'brief', 'advis', 'nation', 'former', 'secur', 'domest', 'chief']","[[""former"", 1.0]]","‘Former Shell employee’ shows Labour is really serious about taking Truss down.. Truss: the former Liberal Democrat, former Remainer, former CND campaigner. Cameoleon or Cuckoo?"
6,1662445974.0,"['evid', 'republican', 'outcom', 'claim', 'widespread', 'voter', 'proof', 'elect']","[[""plug"", 0.8595725195732489], [""petit"", 0.5110137802393365]]","General Election Now. 80000 voted for Liz Truss. That is less than 0.1% of the voting population. Liz Truss is in ERG. Please plug the petition. The Boris succession starts tomorrow, and from what I've heard she intends to be tough... Sign the petition now!! General Election Now."
6,1662446028.0,"['counsel', 'attorney', 'said', 'investig', 'gener']","[[""petit"", 0.7414108766243132], [""plug"", 0.6710513482760968]]","Sign the petition now!! General Election Now. General Election Now. 80000 voted for Liz Truss. That is less than 0.1% of the voting population. Liz Truss is in ERG. Please plug the petition. The Boris succession starts tomorrow, and from what I've heard she intends to be tough..."
6,1662446095.0,"['turnout', 'counti', 'find', 'poll', 'major', 'vote', 'overrid']","[[""petit"", 0.7538198394701303], [""plug"", 0.6570811590825192]]","General Election Now. 80000 voted for Liz Truss. That is less than 0.1% of the voting population. Liz Truss is in ERG. Please plug the petition. The Boris succession starts tomorrow, and from what I've heard she intends to be tough..."
6,1662446181.0,['*'],"[[""farewel"", 1.0]]",Farewell good riddance to the worst PM ever to step foot in Number 10. Sadly I think Truss will be worse. Boris Johnson has arrived at the lectern for his farewell speech.. Farewell Boris! Boris Johnson #Brexit. 🔺 BREAKING: Johnson makes farewell speech as PM.
7,1662446958.0,"['member', 'remov', 'leav', 'resign']","[[""later"", 0.9338548860044426], [""queen"", 0.27061122575793817], [""tuesday"", 0.2338474211519458]]",🔴 Boris Johnson gives final address from Downing Street before he resigns today. ➡️ Liz Truss will be appointed the new prime minister by the Queen later today. #BREAKING British PM Boris Johnson leaves Downing Street office and Liz Truss to take over later Tuesday as leader..
7,1662447037.0,"['work', 'want', 'countri', 'congratul', 'peac', 'get', 'need', 'mani']","[[""outsid"", 0.6920662201380354], [""behind"", 0.45076895313462684], [""outgo"", 0.31368238262681214], [""successor"", 0.296233136783648], [""viciou"", 0.27484006038089037], [""urg"", 0.2369893047048335]]","Boris Johnson: “It’s time for politics to be over folks, it’s time for us all to get behind Liz Truss and her team”. BJ talking a lot of nonsense outside No10 while getting in a few digs eg pointing out he was elected by the people, unlike Truss, only elected by Tories."
7,1662447222.0,"['hour', 'take', 'spent', 'time', 'year', 'last', 'offic']","[[""down"", 0.7342135469086155], [""resign"", 0.4466540464881453], [""later"", 0.3211599629322987], [""mistaken"", 0.20716429733575326], [""opt"", 0.19839034748308523], [""ident"", 0.1805367157044313], [""tuesday"", 0.14876069089239935], [""queen"", 0.14590367906176416]]","𐱅𐰼𐰇𐰰گروهبان زلنسکی(∞ 193💤) Liz Truss plans to spend £130 billion freezing energy bills, the pound rises from two-year low on the news, and a case of mistaken social media identity. This morning's top stories ⬇️ Reply #stop to opt out."
7,1662447336.0,"['call', 'democrat', 'governor', 'pressur', 'leader']","[[""later"", 1.0]]",#BREAKING British PM Boris Johnson leaves Downing Street office and Liz Truss to take over later Tuesday as leader.. Mr Johnson made his final farewell speech in Downing Street before newly crowned Conservative Party leader Liz Truss officially takes over later in the day..
8,1662447859.0,"['evid', 'republican', 'outcom', 'claim', 'widespread', 'voter', 'proof', 'elect']","[[""plug"", 1.0]]","General Election Now. 80000 voted for Liz Truss. That is less than 0.1% of the voting population. Liz Truss is in ERG. Please plug the petition. The Boris succession starts tomorrow, and from what I've heard she intends to be tough..."
8,1662447951.0,['*'],"[[""news"", 0.6933611745415502], [""post"", 0.43459672492666784], [""improv"", 0.33899834342438434], [""tie"", 0.3320842259338903], [""unlik"", 0.32430873926366544]]",". For once I agree is going to be a nightmare. Sky News:. #UK Ties Unlikely To Improve Under Liz Truss: Russia #News #2022. Well, the good news is that Rishi Sunak isn't PM... ""#Economy News: Truss’s trapeze act on the economy - BBC #News"":."
8,1662447955.0,"['counsel', 'attorney', 'said', 'investig', 'gener']","[[""plug"", 1.0]]","General Election Now. 80000 voted for Liz Truss. That is less than 0.1% of the voting population. Liz Truss is in ERG. Please plug the petition. The Boris succession starts tomorrow, and from what I've heard she intends to be tough..."
8,1662448022.0,"['sign', 'fund', 'govern', 'send', 'bill', 'pass']","[[""mistaken"", 0.6095436337975814], [""opt"", 0.5884611706999341], [""ident"", 0.5311967705806415]]","@0xfilz Liz Truss plans to spend £130 billion freezing energy bills, the pound rises from two-year low on the news, and a case of mistaken social media identity. This morning's top stories ⬇️ Reply #stop to opt out."
8,1662448022.0,"['russian', 'media', 'disinform', 'lie']","[[""mistaken"", 0.6100381319919189], [""opt"", 0.5875588961206092], [""ident"", 0.5316277091210928]]","رٍضا الُرٍحٍمن غايَتيَ. Liz Truss plans to spend £130 billion freezing energy bills, the pound rises from two-year low on the news, and a case of mistaken social media identity. This morning's top stories ⬇️ Reply #stop to opt out."
8,1662448022.0,"['steal', 'stop']","[[""mistaken"", 0.6085738694073276], [""opt"", 0.5902245073382328], [""ident"", 0.5303516535393601]]","@liya_xauusd Liz Truss plans to spend £130 billion freezing energy bills, the pound rises from two-year low on the news, and a case of mistaken social media identity. This morning's top stories ⬇️ Reply #stop to opt out."
8,1662448023.0,"['polici', 'cooper', 'administr', 'address', 'climat', 'plan', 'immigr', 'execut', 'day']","[[""mistaken"", 0.6098149055496883], [""opt"", 0.5879664630791388], [""ident"", 0.5314331747864753]]","@eremerem987 Liz Truss plans to spend £130 billion freezing energy bills, the pound rises from two-year low on the news, and a case of mistaken social media identity. This morning's top stories ⬇️ Reply #stop to opt out."
8,1662448404.0,"['foreign', 'econom', 'brief', 'advis', 'nation', 'former', 'secur', 'domest', 'chief']","[[""libyan"", 1.0]]",Liz Truss’s likely chief of staff lobbied government on behalf of Libyan parliament. Here we go again ….. Liz Truss’s likely chief of staff lobbied government on behalf of Libyan parliament | Is there any one involved with the Conservative government who is not on the make?.
9,1662449020.0,"['charg', 'pro-trump', 'assault', 'arrest', 'riot', 'mob', 'rioter', 'support', 'polic', 'capitol', 'protest']","[[""fervent"", 1.0]]","Boris Johnson promises ‘fervent’ support to Liz Truss in final speech - live. Boris Johnson pledges his ""fervent support"" for successor Liz Truss as she prepares to take over as prime minister and deliver a plan to address the energy crisis."
9,1662449241.0,['*'],"[[""unapologet"", 1.0]]",Boris Johnson unapologetic as he makes way for Liz Truss - Outgoing UK prime minister lists his achievements as he steps down amid looming energy crisis... #financenews Read more on. Boris Johnson unapologetic as he makes way for Liz Truss.
10,1662451211.0,['*'],"[[""googl"", 0.7551949117648789], [""review"", 0.6555003014831015]]","In liz we truss.. Financial Review. In liz we Review. Liz Truss google history:. Liz Truss googling this morning. Liz Truss, frantically googling: Liz truss’s google history:. Just In | Trolls googling for pic of Sunak with Barkha."
10,1662451471.0,"['member', 'remov', 'leav', 'resign']","[[""member"", 0.752375282560873], [""isnt"", 0.351569849265729], [""mandat"", 0.34584685065219456], [""pleas"", 0.3399884639390756], [""gener"", 0.27409464708568365]]","How many of the just 86,000 that voted for Truss are 'overseas' members who don't live or have any connections to the UK? Liz Truss got 47% of eligible Tory members. She wouldn't meet the threshold that ministers set for union members voting on strike action."
