node,timestamp,split,query,summary
0,1662761718.0,['*'],"[[""charl"", 0.48315840809656235], [""king"", 0.4749120862491126], [""good"", 0.47214217920055446], [""queen"", 0.271779402004115], [""liz"", 0.26585549862647423], [""curtsey"", 0.21857201873031668], [""speech"", 0.21191329817088375], [""pure"", 0.20417603574741147], [""keir"", 0.19795506876354804]]","Liz Truss killed the queen, is this not what we’ve concluded ? Uk is stuck with charles and liz truss we are so fucked. I hope she’s got a good memory: Rumour has it it’s not her strongest point. Not at all happy having his quotes read back to him by ⁦Keir Starmer⁩ 😂."
1,1662793932.0,['*'],"[[""move"", 0.7704547294262646], [""starmer"", 0.4019801510996623], [""gone"", 0.3726737986073853], [""keir"", 0.3254622986739575]]","A moving tribute from Macron, perhaps Truss could learn something from him.. Keir Starmer is such a great orator. Sir Lindsay Hoyle Will you be pulling Starmer up on this?. It's.... TRUSS OUT 5. TORIES OUT 65. Not moving on. Until they're gone. Truss Out 5. Tories Out 65."
2,1662795363.0,['*'],"[[""love"", 0.7089829299862955], [""ive"", 0.7052256411873066]]","It was meeting Liz Truss that was the “moment I’ve been dreading” 😜. Liz Truss. “I think I’ve just sharted. Hopefully they’ll think it was her. She’s old!”. It's not a lovely thought, it's a meaningless statement (at best). That is lovely.."
3,1662798500.0,['*'],"[[""minc"", 0.5767878865508936], [""better"", 0.5527880210900473], [""charact"", 0.3434748596484035], [""mayb"", 0.3036302127668889], [""well"", 0.282710624756979], [""speech"", 0.26767434505694526]]",Will Liz Truss be a better prime minister than Boris Johnson?. Who else thinks Liz Truss’s curtesy is much like her speeches? She's thick as mince. Keir Starmer. Well well well Liz Truss 🤷‍♀️. She moves like an Elder Scrolls character. Nah she looks like a sim character 😭😭.
4,1662799418.0,['*'],"[[""curtsey"", 0.45196228293429086], [""blair"", 0.4275826666473512], [""like"", 0.38665807708778044], [""sim"", 0.3558453005822659], [""well"", 0.35215296970353505], [""come"", 0.33432566026853416], [""cameron"", 0.3177852266529248]]","Can Liz Truss survive the coming storm? | John Rentoul. Maybe (like me!!) she practiced doing that with one foot behind the other and fell over (also like me!!) 😄. Ha ha ha, Blair/Brown/Starmer and May/Johnson/Cameron having to pretend to talk nicely to each other."
5,1662800327.0,['*'],"[[""look"", 0.7446642052923756], [""starmer"", 0.4412694621936765], [""proclam"", 0.3111241082534606], [""frack"", 0.2383763662848261], [""cameron"", 0.2206137233553189], [""brown"", 0.22014669068421674]]",Understandable but Liz Truss always has the rabbit in the headlight look.. 👀. Starmer is a man who has never violated his conscience. And that’s because he doesn’t have one.. Boris must be livid he's not involved in all of this Proclamation stuff and Truss is 🤣.
6,1662801884.0,['*'],"[[""walk"", 1.0]]",Liz Truss looks frightened to even walk. Accession Council. Truss has been practising that walk. Truss really has trouble walking doesn't she. It's like she has a broom up her backside. Probably that's also why she pulls that's silly face as well. Liz Truss walking ….
7,1662803863.0,['*'],"[[""cat"", 0.7625309263338832], [""outsid"", 0.3848878436718203], [""walk"", 0.3693272598844665], [""queen"", 0.36606735621232067]]",My mum watching Charles ' crowning in Italy: ''Truss walks like a drunk duck'' 🤣😂🤣😂🤣😂. Larry the cat walks outside 10 Downing Street after Liz Truss was named the British prime minister. Um… is it cos of the queen? I bet it’s cos of the queen..
8,1662807252.0,['*'],"[[""agre"", 1.0]]",I agree Well Done Penny! #historyinthemaking. I have to agree with this. Hard agree.... Agreed. Truss Our Prime Minister.
9,1662808907.0,['*'],"[[""firelink"", 0.5225600499624352], [""shrine"", 0.5225600499624352], [""npc"", 0.5225600499624352], [""curtsi"", 0.4251975806019735]]",Liz Truss shortly after her curtsy.. Liz Truss. Curtsies like she's got a rod shoved up her arse.. Liz Truss's royal curtsy is a joke. What the hell is that for a curtsy? 😬🥹🤣. Why does he sound like a firelink shrine npc.
