node,timestamp,split,query,summary
0,1595775216.0,None,"[[""friend"", 0.7385768877501898], [""lord"", 0.6741692523997542]]",Friends of Leicester City for the WIN. O Lord Let Man U win #LEIMUN.
1,1595775543.0,None,"[[""codedli"", 1.0]]",Codedly i want Leicester to win.. 😂.
2,1595775721.0,None,"[[""premier"", 0.6426700891794613], [""leimuc"", 0.5592384421153842], [""leagu"", 0.5236673766184227]]",Pogba is starting Premier League #LEIMUC. Back on the Premier League Fan Wall. PLEASE DON’T MESS THIS UP UNITED 😬😬😬 #LEIMUN #MUFC. This is it! Let's go!. #LEIMUN Premier League.
3,1595776170.0,None,"[[""possess"", 0.5328243236656378], [""yellow"", 0.5328243236656378], [""finau"", 0.4836165718779573], [""need"", 0.44532178435994324]]","We need this. #LEIMUN. Rashford needs confidence tbh, he’s desperate at times and forces a move and costs us possession. Also I need Finau to pull a Finau and shoot a +7 today. Homa, Wolff, English and Rodgers need to all shoot -8 or better. Maguire getting early yellow!!"
4,1595776358.0,None,"[[""rashford"", 1.0]]",Great ball from Rashford. Fucking hell what a pass Rashford. Brilliant cross Rashford. Rashford plays that looping ball from the byline exactly like Ney does. The similarities are uncanny.
5,1595776598.0,None,"[[""matic"", 1.0]]","Spread. The. Ball. Wide. 😩😩😩. See how they're pressing all of you now, Matic Williams especially. 😤😭. Hey matic dont give the ball away infront of goal ever again. Matic can’t make 5 yard passes lmao."
6,1595777244.0,None,"[[""kmt"", 1.0]]",Vardy needs to be easy kmt.
7,1595777404.0,None,"[[""half"", 0.6024713017567074], [""sent"", 0.6024713017567074], [""disench"", 0.5235042130863483]]",They have half of their first team out. They’re starting Wes Morgan in defence. We are SO bad man. Almost half the team looks like they're disenchanted in this match. #LEIMUN. Maguire needs taking off before he gets sent off.
8,1595777610.0,None,"[[""offsid"", 0.62336727574359], [""pogba"", 0.5735563341650084], [""pass"", 0.5314568383897345]]","POGBA TO FERNANDES WHAT A GOAL!!! Offside tho... Chance! Pogba finds Bruno with a great pass and Bruno finishes well past Schmeichel, but he’s ruled out offside. Better. Beautiful pass from pogba to Fernandes but he's offside #LEIMUN. Ffsssss pogba what a pass man."
9,1595777732.0,None,"[[""likeli"", 0.7071067811865475], [""sksksksksk"", 0.7071067811865475]]",Leicester look likelier to win so far. Leicester and Manchester United are we playing for a draw and hoping wolves win sksksksksk.
10,1595777953.0,None,"[[""vardi"", 1.0]]",Need Leicester to win but Vardy not to score. Manchester United fans when Chelsea is winning 2-0 then Vardy scores a 96th minute winner. #LEIMUN #CHEWOL. Abeg make Vardy no score today o #LEIMUN. I don't see Vardy scoring because of selfish Kelechi #LEIMUN.
11,1595778163.0,None,"[[""rashford"", 1.0]]",Rashford should have scored that one. Rashford has to score there. Rashford’s got to score that man.
12,1595778485.0,None,"[[""half"", 0.5436644845506964], [""defo"", 0.48782599212914385], [""screamer"", 0.4847922842234252], [""vardi"", 0.4810729370884167]]","Rodgers don’t take Iheanacho off at half time. Chelsea winning, Leicester will defo need a win here. Vardy's gonna hear the news that Aubameyang is closing in on his golden boot at half time... MOUNT! Now I need Vardy to score. All that’s needed is a Vardy screamer 🙏🏽😩."
13,1595778606.0,None,"[[""pl"", 0.4407628708191092], [""footbal"", 0.44074753665991445], [""dazn"", 0.43180763221459856], [""cruis"", 0.3909962045537609], [""vardi"", 0.36977965954217623], [""god"", 0.36796309707654445]]","Iheanacho is mad tho. I don't need Vardy to score. Chelsea is on cruise, now leicester city do it for football world... #CHEWOL. Now all I want is a Leicester win. God please. HT: Chelsea 2-0 Wolves. Leicester 0-0 Man United. Premier League No DAZN #CHEWOL. Leicester pls win too."
14,1595778762.0,None,"[[""fuck"", 1.0]]",Vardy give me that goal please and let us have a fucking day.
