timestamp,query,summary
1662622721.0,"[[""protocol"", 0.6391986498633896], [""conduc"", 0.5766675588448356], [""northern"", 0.5088021350080578]]",The Biden administration has issued a warning over any “efforts to undo the Northern Ireland Protocol”.. White House warns Truss ripping up Northern Ireland protocol ‘not conducive’ to trade talks | The Independent.
1662633731.0,"[[""2500"", 0.6499945573313324], [""typic"", 0.3900181779190842], [""month"", 0.2582692500635985], [""frozen"", 0.21666485244377745], [""unveil"", 0.21666485244377745], [""guarante"", 0.17050821281383818], [""cap"", 0.16676291272803173], [""six"", 0.1625258142942083], [""soar"", 0.1541893026941111], [""tackl"", 0.1522147076309896], [""scheme"", 0.14523701362406924], [""price"", 0.13832494071188578], [""introduc"", 0.13368099209504217], [""contract"", 0.13266708570748645], [""oct"", 0.1299703151921092], [""negoti"", 0.12992778836371777], [""busi"", 0.11237093853588799], [""suppli"", 0.11163275713373409]]",🔴 Truss says there will be a new six-month scheme for businesses to provide equivalent support to that being offered to consumers.. This is not a freeze. £2500 per year is still unacceptable and unaffordable for many.. @ladbible £2500 is a cap on the price of energy not your bill.
1662634652.0,"[[""energybil"", 0.5984738867033338], [""moratorium"", 0.4739689068656401], [""curb"", 0.2992369433516669], [""2500"", 0.2992369433516669], [""averag"", 0.2992369433516669], [""2040"", 0.2992369433516669], [""shale"", 0.1882736987913296], [""extract"", 0.15350734033404376]]",Liz Truss has promised to deal with energy crisis and that’s exactly what she has done. #energybills. This could well explain why Liz Truss has just announced that she is ending the moratorium on #fracking. 😩.
1662635629.0,"[[""keir"", 0.5514583266050461], [""lift"", 0.4456879252451917], [""ban"", 0.4232072377669802], [""averag"", 0.30731077447080485], [""queen"", 0.30731077447080485], [""typic"", 0.30731077447080485], [""starmer"", 0.18663302197816933]]",Keir starmer is totally spot on in what he said about liz truss and her energy plans. #energybills. Truss has lifted the ban on fracking....... is she taking the fucking piss. @captainbensons @addiexrollins that's what Liz truss did to the queen this morning!
1662636800.0,"[[""meet"", 0.7637500400962597], [""chamber"", 0.32098326334568367], [""averag"", 0.32098326334568367], [""met"", 0.32098326334568367], [""day"", 0.2172534429783597], [""johnson"", 0.17526815809163182], [""bori"", 0.1722704980025405]]","Important. Truss hasn't announced a 'cap'. It's an 'average'. So if your household isn't average, you'll still pay more than £2,500 this winter.. Liz truss meets her and a day later this 💀. See what happens when you have to have meetings with Johnson and Truss on the same day?."
1662637999.0,"[[""supervis"", 0.8305248400812657], [""medic"", 0.365659055003574], [""meet"", 0.2676444428210549], [""distress"", 0.22281132360190603], [""buckingham"", 0.1732757050880284], [""palac"", 0.1588050434649409]]","Having to meet with both Johnson and Truss must have been very distressing.. You meet Liz Truss one day, the next you're under constant medical supervision 😬. I'd want to be under immediate medical supervision too if I'd just made Liz Truss prime minister."
1662639562.0,"[[""buckingham"", 0.6636452870993715], [""palac"", 0.6276351481983338], [""abolish"", 0.2448992957282624], [""monarchi"", 0.22896358179000112], [""concern"", 0.17165090253052048], [""whole"", 0.1542239750590049]]","Prime Minister Liz Truss said ""the whole country will be deeply concerned by the news from Buckingham Palace this lunchtime."". Looks like truss managed to abolish the monarchy after all. I know Liz Truss wanted to abolish the monarchy but jeez!"
1662641635.0,"[[""met"", 1.0]]",She just met Liz Truss. Interesting 🤔. The queen after she met liz truss. Liz Truss when she met the Queen - an artist’s reenactment:. @Lois_AD @Rozrunsabit I don't think they will move her. She looked OK when she met Liz Truss but maybe she had a fall.
1662644443.0,"[[""buckingham"", 0.7376257442744086], [""palac"", 0.675209790645563]]","JUST IN: The statement from Buckingham Palace describes the Queen's condition as ""comfortable."" Prime Minister Liz Truss says the ""whole country"" is ""deeply concerned"". Latest:."
1662647684.0,"[[""elizabeth"", 1.0]]","Liz truss really said ""there can only be one elizabeth."" Did Liz Truss give Queen Elizabeth Covid?! Queen Elizabeth appointed Elizabeth (Liz) Truss as British PM, two days ago. PM Elizabeth is the 15th Prime Minister of the UK under the reign of 96-year-old Queen Elizabeth II.."
